iter	Passed	Remaining
0	0	82
1	2	109
2	2	93
3	3	86
4	4	94
5	6	94
6	6	90
7	8	93
8	9	91
9	9	88
10	10	85
11	11	82
12	11	80
13	12	77
14	13	76
15	14	74
16	14	73
17	15	71
18	16	70
19	17	68
20	17	66
21	18	66
22	19	66
23	21	66
24	22	66
25	23	65
26	23	64
27	24	62
28	25	61
29	25	60
30	26	58
31	27	58
32	28	57
33	28	56
34	29	55
35	30	53
36	30	52
37	31	51
38	32	50
39	32	49
40	34	49
41	34	47
42	35	47
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	48	32
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	63	17
79	65	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	75	4
94	77	4
95	77	3
96	78	2
97	80	1
98	81	0
99	81	0
