iter	Passed	Remaining
0	169	169631
1	171	85826
2	174	57867
3	177	44102
4	179	35763
5	181	30085
6	183	26025
7	185	22966
8	186	20588
9	188	18678
10	190	17142
11	193	15902
12	195	14837
13	197	13890
14	199	13081
15	201	12378
16	203	11746
17	205	11184
18	207	10737
19	210	10301
20	212	9886
21	213	9495
22	215	9141
23	217	8824
24	218	8529
25	220	8243
26	221	7982
27	223	7743
28	224	7504
29	225	7277
30	225	7057
31	226	6855
32	227	6662
33	228	6479
34	229	6314
35	229	6153
36	246	6405
37	248	6284
38	250	6160
39	252	6049
40	254	5949
41	256	5847
42	258	5746
43	259	5646
44	261	5550
45	263	5458
46	264	5369
47	266	5283
48	267	5199
49	269	5126
50	270	5042
51	271	4956
52	272	4872
53	273	4790
54	274	4712
55	275	4639
56	276	4567
57	277	4499
58	277	4432
59	278	4364
60	279	4298
61	279	4233
62	280	4170
63	281	4110
64	281	4052
65	282	3996
66	283	3941
67	283	3890
68	284	3843
69	285	3797
70	286	3747
71	286	3698
72	287	3651
73	288	3608
74	289	3564
75	289	3522
76	290	3479
77	291	3440
78	291	3401
79	292	3363
80	293	3326
81	293	3290
82	294	3252
83	295	3216
84	295	3183
85	296	3150
86	297	3117
87	297	3086
88	298	3056
89	299	3030
90	300	3002
91	301	2974
92	302	2947
93	302	2919
94	303	2891
95	304	2864
96	305	2839
97	305	2812
98	306	2787
99	306	2761
100	307	2737
101	308	2713
102	308	2690
103	309	2667
104	310	2645
105	311	2623
106	311	2602
107	312	2581
108	313	2560
109	313	2539
110	314	2522
111	315	2504
112	316	2485
113	317	2467
114	318	2450
115	319	2434
116	320	2415
117	321	2399
118	321	2382
119	322	2364
120	323	2347
121	323	2329
122	324	2312
123	325	2297
124	325	2281
125	326	2266
126	327	2249
127	327	2233
128	328	2219
129	329	2203
130	330	2191
131	331	2178
132	332	2165
133	332	2151
134	333	2137
135	334	2124
136	335	2111
137	335	2097
138	336	2084
139	337	2071
140	337	2058
141	338	2044
142	339	2032
143	340	2021
144	340	2009
145	341	1997
146	342	1985
147	342	1973
148	343	1962
149	344	1951
150	345	1941
151	346	1933
152	347	1923
153	348	1912
154	348	1902
155	349	1891
156	350	1881
157	351	1871
158	351	1861
159	352	1851
160	353	1839
161	353	1830
162	354	1820
163	355	1810
164	355	1801
165	356	1791
166	357	1782
167	358	1773
168	358	1765
169	359	1756
170	360	1748
171	361	1741
172	362	1732
173	363	1724
174	364	1716
175	364	1707
176	365	1698
177	366	1690
178	366	1682
179	367	1673
180	368	1665
181	368	1657
182	369	1649
183	370	1641
184	370	1634
185	371	1626
186	372	1618
187	373	1611
188	373	1603
189	374	1597
190	375	1590
191	376	1583
192	377	1577
193	378	1570
194	378	1563
195	379	1556
196	380	1549
197	380	1542
198	381	1535
199	382	1528
200	382	1522
201	383	1515
202	384	1509
203	385	1502
204	385	1496
205	386	1489
206	387	1483
207	387	1477
208	388	1470
209	389	1465
210	390	1459
211	390	1453
212	392	1449
213	393	1443
214	393	1437
215	394	1432
216	395	1426
217	395	1420
218	396	1414
219	397	1408
220	398	1403
221	399	1398
222	399	1393
223	400	1388
224	401	1383
225	402	1378
226	403	1372
227	403	1367
228	404	1361
229	405	1356
230	405	1351
231	407	1347
232	407	1342
233	408	1338
234	409	1333
235	410	1328
236	411	1323
237	411	1318
238	412	1313
239	413	1308
240	413	1303
241	414	1298
242	415	1293
243	416	1289
244	416	1284
245	417	1279
246	418	1274
247	418	1270
248	419	1265
249	420	1260
250	420	1255
251	421	1251
252	422	1248
253	423	1244
254	424	1239
255	425	1235
256	425	1231
257	426	1226
258	427	1222
259	427	1217
260	428	1213
261	429	1209
262	429	1204
263	430	1200
264	431	1196
265	432	1192
266	432	1188
267	433	1184
268	434	1179
269	434	1176
270	435	1171
271	436	1167
272	437	1164
273	438	1162
274	439	1158
275	440	1154
276	441	1151
277	441	1147
278	442	1144
279	443	1140
280	444	1136
281	444	1132
282	445	1129
283	446	1125
284	447	1121
285	447	1117
286	448	1114
287	449	1110
288	450	1107
289	450	1104
290	451	1100
291	452	1097
292	453	1094
293	454	1091
294	455	1088
295	456	1085
296	457	1082
297	457	1078
298	458	1075
299	459	1071
300	460	1068
301	460	1065
302	461	1061
303	462	1058
304	462	1054
305	463	1051
306	464	1048
307	465	1045
308	465	1041
309	466	1038
310	467	1035
311	468	1033
312	469	1030
313	470	1026
314	470	1023
315	471	1020
316	472	1017
317	473	1014
318	473	1011
319	474	1008
320	475	1005
321	476	1002
322	476	999
323	477	996
324	478	993
325	479	991
326	480	988
327	480	985
328	481	982
329	482	979
330	483	976
331	484	974
332	485	972
333	486	969
334	486	966
335	487	963
336	488	960
337	489	957
338	489	954
339	490	952
340	491	949
341	491	946
342	492	943
343	493	941
344	494	938
345	494	935
346	495	932
347	496	930
348	497	927
349	498	925
350	499	923
351	500	920
352	501	918
353	501	915
354	502	913
355	503	910
356	504	908
357	505	905
358	505	903
359	506	900
360	507	898
361	508	895
362	508	892
363	509	890
364	510	888
365	511	885
366	512	883
367	513	881
368	514	879
369	514	876
370	515	874
371	516	871
372	517	869
373	517	866
374	518	864
375	519	862
376	520	860
377	521	857
378	522	855
379	522	853
380	523	850
381	524	848
382	524	845
383	525	843
384	526	841
385	527	838
386	528	836
387	528	834
388	529	831
389	530	829
390	531	827
391	531	824
392	532	822
393	533	820
394	534	818
395	535	816
396	535	814
397	536	811
398	537	809
399	538	807
400	538	804
401	539	802
402	540	800
403	541	798
404	541	796
405	542	793
406	543	791
407	543	789
408	544	787
409	545	784
410	546	782
411	547	780
412	547	778
413	548	776
414	549	774
415	550	772
416	551	770
417	552	768
418	552	766
419	553	764
420	554	762
421	555	760
422	555	758
423	556	755
424	557	753
425	557	751
426	558	749
427	559	748
428	560	745
429	561	743
430	561	741
431	562	739
432	563	737
433	564	735
434	564	733
435	565	731
436	567	730
437	567	728
438	568	726
439	569	724
440	570	722
441	570	720
442	571	718
443	572	716
444	573	714
445	574	713
446	574	711
447	575	709
448	576	707
449	576	705
450	577	703
451	578	701
452	579	699
453	580	697
454	581	696
455	582	694
456	583	693
457	584	691
458	585	689
459	586	688
460	586	686
461	587	684
462	588	682
463	588	680
464	589	678
465	590	676
466	591	674
467	592	673
468	592	671
469	593	669
470	594	667
471	594	665
472	595	663
473	596	662
474	597	660
475	598	658
476	599	657
477	599	655
478	600	653
479	601	651
480	601	649
481	602	647
482	603	645
483	604	644
484	605	642
485	606	641
486	606	639
487	607	637
488	608	635
489	609	633
490	609	632
491	610	630
492	611	629
493	612	627
494	614	626
495	615	625
496	616	623
497	617	622
498	617	620
499	618	618
500	619	617
501	620	615
502	621	613
503	621	611
504	622	610
505	623	608
506	624	606
507	624	605
508	625	603
509	626	601
510	627	600
511	628	599
512	630	598
513	631	596
514	631	594
515	632	593
516	633	591
517	634	590
518	635	588
519	636	587
520	636	585
521	637	583
522	638	582
523	638	580
524	639	578
525	640	577
526	641	575
527	642	574
528	643	572
529	644	571
530	645	570
531	646	568
532	647	567
533	648	566
534	649	564
535	650	563
536	651	561
537	652	560
538	653	558
539	653	557
540	654	555
541	655	553
542	656	552
543	657	550
544	658	549
545	659	548
546	660	547
547	661	545
548	662	544
549	663	542
550	663	541
551	664	539
552	665	537
553	665	536
554	666	534
555	667	532
556	667	531
557	668	529
558	668	527
559	669	526
560	670	524
561	670	522
562	671	521
563	672	519
564	673	518
565	674	517
566	675	515
567	676	514
568	676	512
569	677	511
570	678	509
571	679	508
572	680	506
573	681	505
574	681	504
575	682	502
576	683	501
577	684	499
578	684	498
579	685	496
580	686	495
581	687	493
582	688	492
583	689	491
584	690	490
585	691	488
586	692	487
587	693	485
588	694	484
589	695	483
590	695	481
591	696	480
592	697	479
593	698	477
594	699	476
595	700	474
596	701	473
597	702	472
598	703	470
599	704	469
600	705	468
601	706	467
602	707	465
603	708	464
604	708	462
605	709	461
606	710	459
607	710	458
608	711	456
609	712	455
610	713	454
611	714	452
612	715	451
613	716	450
614	717	449
615	718	448
616	720	446
617	721	445
618	722	444
619	722	443
620	723	441
621	724	440
622	725	438
623	726	437
624	726	436
625	727	434
626	728	433
627	729	432
628	730	430
629	730	429
630	731	427
631	732	426
632	733	425
633	734	423
634	735	422
635	736	421
636	737	420
637	738	418
638	739	417
639	740	416
640	740	414
641	741	413
642	742	412
643	743	410
644	744	409
645	744	408
646	745	406
647	746	405
648	746	403
649	747	402
650	749	401
651	750	400
652	751	399
653	752	397
654	753	396
655	753	395
656	754	393
657	754	392
658	755	390
659	756	389
660	756	388
661	757	386
662	758	385
663	759	384
664	759	382
665	760	381
666	761	380
667	761	378
668	762	377
669	763	376
670	764	375
671	766	373
672	766	372
673	767	371
674	768	370
675	769	368
676	769	367
677	770	366
678	771	364
679	771	363
680	772	362
681	773	360
682	774	359
683	775	358
684	775	356
685	776	355
686	777	354
687	778	352
688	779	351
689	780	350
690	782	349
691	782	348
692	783	347
693	784	345
694	785	344
695	786	343
696	786	341
697	787	340
698	788	339
699	788	338
700	789	336
701	790	335
702	790	334
703	791	332
704	792	331
705	793	330
706	795	329
707	796	328
708	797	327
709	798	326
710	799	324
711	799	323
712	800	322
713	801	320
714	802	319
715	802	318
716	803	317
717	804	315
718	804	314
719	805	313
720	806	311
721	806	310
722	807	309
723	808	308
724	809	307
725	810	306
726	811	304
727	812	303
728	813	302
729	814	301
730	814	299
731	815	298
732	816	297
733	816	296
734	817	294
735	818	293
736	819	292
737	819	291
738	820	289
739	821	288
740	821	287
741	822	285
742	823	284
743	824	283
744	825	282
745	826	281
746	827	280
747	828	279
748	828	277
749	829	276
750	830	275
751	831	274
752	831	272
753	832	271
754	833	270
755	833	269
756	834	267
757	835	266
758	835	265
759	836	264
760	837	262
761	837	261
762	838	260
763	839	259
764	840	258
765	842	257
766	843	256
767	843	254
768	844	253
769	845	252
770	846	251
771	846	250
772	847	248
773	848	247
774	848	246
775	849	245
776	850	244
777	851	242
778	851	241
779	852	240
780	853	239
781	854	238
782	855	237
783	856	236
784	857	234
785	858	233
786	859	232
787	860	231
788	860	230
789	861	228
790	862	227
791	862	226
792	863	225
793	864	224
794	864	222
795	865	221
796	865	220
797	866	219
798	867	218
799	868	217
800	868	215
801	870	214
802	871	213
803	872	212
804	873	211
805	874	210
806	874	209
807	875	208
808	876	206
809	877	205
810	878	204
811	878	203
812	879	202
813	880	201
814	880	199
815	881	198
816	882	197
817	882	196
818	883	195
819	885	194
820	886	193
821	887	192
822	888	191
823	889	189
824	890	188
825	891	187
826	891	186
827	892	185
828	893	184
829	893	183
830	894	181
831	895	180
832	896	179
833	896	178
834	897	177
835	898	176
836	898	175
837	899	173
838	900	172
839	902	171
840	903	170
841	903	169
842	904	168
843	905	167
844	906	166
845	906	165
846	907	163
847	908	162
848	909	161
849	910	160
850	910	159
851	911	158
852	912	157
853	912	156
854	913	154
855	914	153
856	915	152
857	917	151
858	918	150
859	918	149
860	919	148
861	920	147
862	921	146
863	922	145
864	922	144
865	923	142
866	924	141
867	924	140
868	925	139
869	926	138
870	926	137
871	927	136
872	928	135
873	929	133
874	930	132
875	931	131
876	933	130
877	934	129
878	935	128
879	936	127
880	936	126
881	937	125
882	938	124
883	939	123
884	939	122
885	940	121
886	941	119
887	942	118
888	942	117
889	943	116
890	944	115
891	945	114
892	946	113
893	948	112
894	949	111
895	950	110
896	951	109
897	952	108
898	953	107
899	953	105
900	954	104
901	955	103
902	956	102
903	957	101
904	957	100
905	958	99
906	958	98
907	959	97
908	960	96
909	961	95
910	962	94
911	963	93
912	964	91
913	965	90
914	966	89
915	967	88
916	968	87
917	969	86
918	970	85
919	970	84
920	971	83
921	972	82
922	973	81
923	973	80
924	974	79
925	975	77
926	976	76
927	977	75
928	978	74
929	979	73
930	980	72
931	981	71
932	982	70
933	983	69
934	983	68
935	984	67
936	985	66
937	986	65
938	987	64
939	987	63
940	988	61
941	989	60
942	989	59
943	990	58
944	991	57
945	992	56
946	993	55
947	994	54
948	995	53
949	996	52
950	997	51
951	997	50
952	998	49
953	999	48
954	1000	47
955	1000	46
956	1001	44
957	1001	43
958	1002	42
959	1003	41
960	1004	40
961	1004	39
962	1005	38
963	1006	37
964	1007	36
965	1008	35
966	1009	34
967	1010	33
968	1011	32
969	1012	31
970	1012	30
971	1013	29
972	1014	28
973	1014	27
974	1015	26
975	1016	24
976	1017	23
977	1017	22
978	1018	21
979	1019	20
980	1019	19
981	1020	18
982	1021	17
983	1022	16
984	1024	15
985	1025	14
986	1026	13
987	1026	12
988	1027	11
989	1028	10
990	1029	9
991	1029	8
992	1030	7
993	1031	6
994	1032	5
995	1032	4
996	1033	3
997	1034	2
998	1034	1
999	1035	0
